,0
0,EP021988
1,AL041975
2,AL141959
3,EP042009
4,AL031894
5,EP021961
6,AL051871
7,AL041912
8,AL081950
9,AL121931
10,EP161985
11,AL101878
12,EP051979
13,AL121980
14,EP021983
15,EP212006
16,AL041885
17,EP161993
18,EP041951
19,EP022011
20,AL041961
21,EP041978
22,AL042007
23,EP031982
24,EP152014
25,EP092009
26,AL142011
27,AL182005
28,AL222005
29,AL041969
30,AL051889
31,AL071934
32,AL021975
33,AL061996
34,AL041875
35,AL021851
36,AL051992
37,AL042014
38,AL041959
39,AL121932
40,AL041956
41,AL021974
42,AL041918
43,EP081965
44,EP022015
45,EP161986
46,EP031974
47,EP221989
48,EP171992
49,EP011970
50,EP141994
51,EP161989
52,AL121994
53,AL011874
54,AL121971
55,AL111990
56,EP111986
57,EP061999
58,AL022002
59,EP121966
60,AL162003
61,AL091994
62,EP132014
63,EP071995
64,AL031935
65,AL111909
66,AL091942
67,EP021979
68,AL082014
69,AL071978
70,AL121999
71,AL012002
72,AL071908
73,EP141975
74,EP141986
75,AL161990
76,EP081954
77,EP052012
78,EP121958
79,EP072010
80,EP031957
81,EP111980
82,EP011993
83,AL182012
84,EP061957
85,EP151986
86,AL041868
87,AL051969
88,EP181970
89,AL052000
90,AL021927
91,AL132004
92,EP082002
93,EP061983
94,AL071987
95,EP121990
96,AL021981
97,AL091978
98,AL071955
99,AL012009
100,EP181997
101,EP041977
102,EP032008
103,AL051963
104,EP181983
105,AL111906
106,AL021889
107,AL181976
108,AL061875
109,AL151980
110,EP021969
111,AL091988
112,AL101909
113,AL081977
114,EP061976
115,EP081989
116,EP031966
117,AL041937
118,AL051866
119,AL021944
120,EP131990
121,AL101936
122,EP131993
123,AL011878
124,AL092015
125,AL091878
126,AL031971
127,AL102011
128,AL171887
129,AL041947
130,AL202011
131,AL052004
132,EP012001
133,AL031974
134,EP161991
135,EP171985
136,AL191970
137,AL021932
138,AL051948
139,AL011994
140,AL081891
141,AL152001
142,AL021955
143,AL102008
144,AL011984
145,AL041944
146,AL091968
147,AL041863
148,AL051910
149,EP071985
150,AL021865
151,AL021957
152,AL011962
153,AL192000
154,EP052001
155,AL181995
156,AL211976
157,AL071912
158,AL031934
159,EP101989
160,EP131988
161,AL041950
162,AL061897
163,AL041965
164,AL021856
165,EP101971
166,AL021928
167,AL052011
168,AL021860
169,EP051951
170,AL031908
171,AL041954
172,EP091958
173,AL071909
174,EP071988
175,AL121886
176,AL011991
177,AL031887
178,EP202014
179,AL192003
180,EP142002
181,AL131995
182,EP152008
183,EP141983
184,EP052008
185,EP012013
186,AL051921
